question_id,concept_id,question,concept_text,max_mark
Q1,Q1_C1,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Ubiquity Defined: E-commerce is available anywhere, anytime via internet-connected devices, removing geographical and time constraints on commerce.",1.0
Q1,Q1_C2,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Consumer Behaviour: Consumers can shop 24/7 from any location, reducing search time and effort; lowers transaction costs and increases bargaining power.",1.0
Q1,Q1_C3,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Business Operations: Businesses must maintain always-on digital infrastructure; inventory and fulfilment systems must respond to continuous, unpredictable demand.",1.0
Q1,Q1_C4,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Marketspace Concept: Ubiquity transforms the traditional marketplace into a 'marketspace', eliminating geographic and temporal constraints on commerce.",1.0
Q1,Q1_C5,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Critical Evaluation: While ubiquity democratises access, the digital divide excludes populations without reliable internet; always-on expectations place significant operational pressure on businesses.",1.0
Q2,Q2_C1,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,Information Asymmetry Defined: Traditional markets favour sellers who hold more product/price information than buyers; digital markets narrow this gap significantly.,1.0
Q2,Q2_C2,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Consumer Benefit: Price transparency and cost transparency empower consumers to compare prices and discover merchant costs, increasing their bargaining power.",1.0
Q2,Q2_C3,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Business Implication: Firms can no longer rely on information advantages; must compete on quality, service, and differentiation rather than price obscurity.",1.0
Q2,Q2_C4,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"New Asymmetries: Businesses leverage big data to practise dynamic pricing and price discrimination, sometimes exploiting information advantages over consumers.",1.0
Q2,Q2_C5,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Critical Evaluation: Digital platforms like Amazon or Google accumulate vast consumer data, creating powerful new informational asymmetries that raise ethical and regulatory concerns.",1.0
Q3,Q3_C1,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Advertising Revenue Model: Revenue generated by charging fees for displaying advertisements to high-volume audiences (e.g., Google, Facebook); free for users, enabling rapid growth.",1.0
Q3,Q3_C2,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Subscription Revenue Model: Users pay a recurring fee for continuous access to a service or content (e.g., Netflix, Spotify); provides predictable, stable recurring revenue.",1.0
Q3,Q3_C3,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Comparison — Stability vs Scale: Subscription provides predictable revenue; advertising revenue fluctuates with traffic volume and advertiser spending cycles.,1.0
Q3,Q3_C4,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Hybrid Convergence: Many platforms blend both models (e.g., Netflix ad-supported tiers, Spotify freemium); long-term trend is towards personalised, blended revenue models.",1.0
Q3,Q3_C5,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Critical Evaluation: Advertising risks user experience tensions and ad-blocking; subscription models face churn risk and require constant high-value content delivery to retain paying customers.,1.0
Q4,Q4_C1,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","B2C (Business-to-Consumer): Firms sell directly to individual consumers (e.g., Amazon, KeellsSuper.com); strength lies in large market reach, personalisation, and brand loyalty.",1.0
Q4,Q4_C2,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","B2B (Business-to-Business): Transactions between firms (e.g., Grainger.com, b2b.hp.com); strength is high transaction values, long-term relationships, and ERP integration.",1.0
Q4,Q4_C3,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","C2C (Consumer-to-Consumer): Peer-to-peer transactions facilitated by platforms (e.g., eBay, Airbnb, ikman.lk); strength is network effects — more buyers attract more sellers.",1.0
Q4,Q4_C4,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.",Comparative Strengths: B2B generates highest value per transaction; B2C offers scale and personalisation; C2C democratises commerce and monetises idle assets.,1.0
Q4,Q4_C5,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","Critical Evaluation: Boundaries are blurring — Amazon simultaneously acts as B2C retailer, B2B marketplace enabler, and C2C platform for third-party sellers, reflecting multi-model convergence.",1.0
Q5,Q5_C1,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.","Cost Structure of Digital Goods: Near-zero marginal cost of reproduction and distribution once created; no physical production, storage, or shipping expenses beyond the first unit.",1.0
Q5,Q5_C2,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.","Traditional Goods Contrast: Physical goods incur per-unit manufacturing, logistics, and inventory holding costs, fundamentally constraining scalability.",1.0
Q5,Q5_C3,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.","Impact on Music Industry: Physical album sales replaced by streaming platforms (Spotify, Apple Music) distributing infinite copies at negligible marginal cost; royalty revenues per unit significantly reduced.",1.0
Q5,Q5_C4,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.",Impact on Publishing: E-books and digital subscriptions eliminate print and distribution costs; publishers can price flexibly and reach global audiences instantly.,1.0
Q5,Q5_C5,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.","Critical Evaluation: Low marginal cost is a double-edged sword — while consumers benefit from lower prices and instant access, piracy erodes revenue and streaming royalties are significantly lower than physical sales income.",1.0
Q6,Q6_C1,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?","Disintermediation Defined: The removal of intermediaries (wholesalers, retailers, brokers) from the supply chain through direct digital transactions between producers and consumers.",1.0
Q6,Q6_C2,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?","Consumer Benefit: Lower end prices (e.g., sweater dropping from $48.50 to $20.45 direct); faster transactions and direct access to producers.",1.0
Q6,Q6_C3,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?",Business Benefit: Higher profit margins per sale and direct customer relationships enabling richer data collection and better brand control.,1.0
Q6,Q6_C4,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?","Potential Drawbacks: Intermediaries provide logistics, quality assurance, customer service, and dispute resolution; their removal shifts these responsibilities and risks to manufacturers or consumers.",1.0
Q6,Q6_C5,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?","Re-intermediation: New digital intermediaries (e.g., Amazon) often emerge, recreating dependency and extracting fees — challenging the pure efficiency narrative of disintermediation.",1.0
Q7,Q7_C1,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","Social E-Commerce Defined: Use of social networks to facilitate peer-influenced purchasing decisions, underpinned by the digital social graph mapping all online social relationships.",1.0
Q7,Q7_C2,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","Key Features: Newsfeeds (organic product exposure), social sign-on (rich demographic data), collaborative shopping, network notifications (viral recommendations), and social search.",1.0
Q7,Q7_C3,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","Business Value: Enables viral marketing at minimal cost, builds brand communities, hyper-targets advertising using social profile data, and leverages 'wisdom of crowds' for product insights.",1.0
Q7,Q7_C4,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","Social Network Marketing: Targeted advertising using demographic and behavioural data (e.g., Facebook Ads, TikTok for Business); effective for B2C impulse-driven purchases.",1.0
Q7,Q7_C5,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","Critical Evaluation: Raises ethical concerns around harvesting personal social data without explicit consent, algorithmic manipulation of purchasing impulses; GDPR and privacy regulations increasingly challenge its data-driven foundation.",1.0
Q8,Q8_C1,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","M-Commerce Defined: Commercial transactions conducted via mobile devices (smartphones, tablets) using wireless networks; accounts for approximately 34% of global e-commerce transactions.",1.0
Q8,Q8_C2,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","Areas of Growth: Mass market retailing (Amazon, eBay), digital content consumption (music, TV, e-books), in-app purchases, and mobile ticketing.",1.0
Q8,Q8_C3,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","Supporting Services: Location-based services (geosocial, geo-advertising, geoinformation) add spatial context; mobile payment systems (Apple Pay, Google Pay) enable seamless transactions.",1.0
Q8,Q8_C4,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","Mobile Advertising: Dominated by Google and Facebook, monetising consumer attention within apps, games, and videos; financial apps from banks expand the m-commerce ecosystem.",1.0
Q8,Q8_C5,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","Critical Evaluation: Structural challenges include smaller screen UX limitations, mobile payment security concerns, and fragmented device ecosystems (iOS vs Android); always-connected nature raises data privacy concerns.",1.0
Q9,Q9_C1,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?",Market Creator Model Defined: Platforms that build digital marketplaces connecting buyers and sellers who transact directly; platform earns revenue through transaction fees without owning underlying assets.,1.0
Q9,Q9_C2,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?","Value Creation — eBay: Aggregates buyers and sellers globally, enabling transparent price discovery through auction and fixed-price mechanisms.",1.0
Q9,Q9_C3,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?","Value Creation — Uber/Airbnb: Monetise underutilised assets (cars, homes) by matching supply and demand in real time, generating powerful two-sided network effects.",1.0
Q9,Q9_C4,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?",Network Effect Advantage: Platform value grows as more participants join — more sellers attract more buyers — creating self-reinforcing growth cycles and high barriers to entry.,1.0
Q9,Q9_C5,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?","Critical Challenges: Regulatory pressure (Uber licensing disputes, Airbnb housing bans), trust management (rating systems mitigate but cannot eliminate fraud), gig economy labour rights concerns, and winner-takes-all monopoly power dynamics.",1.0
Q10,Q10_C1,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.",Key Management Challenges: Two critical challenges — developing a clear understanding of business objectives and selecting technology that aligns with those objectives.,1.0
Q10,Q10_C2,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","E-Commerce Presence Map: A planning framework identifying four presence types: websites (search, display, apps), email (newsletters, promotions), social media (engagement, sharing), and offline media (branding, exposure).",1.0
Q10,Q10_C3,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.",Strategic Role of Map: Ensures no channel is overlooked; aligns resources to where target audiences engage; supports omnichannel consistency and coherent brand messaging.,1.0
Q10,Q10_C4,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","Phased Timeline: A milestone-based project timeline decomposes the complex initiative into manageable, measurable stages, reducing risk and enabling iterative improvement.",1.0
Q10,Q10_C5,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","Critical Evaluation: Successful e-commerce presence requires ongoing management beyond launch — continuous performance measurement, A/B testing, algorithm adaptation; resource constraints often force prioritisation decisions that leave opportunities unexploited.",1.0
Q11,Q11_C1,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Data: Raw, unprocessed facts and figures captured by systems (e.g., sales transactions); provides the foundational input for analysis but holds no inherent meaning without processing.",1.0
Q11,Q11_C2,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Information: Data processed and contextualised to carry meaning (e.g., monthly regional sales reports); enables managers to identify patterns and monitor operational performance.",1.0
Q11,Q11_C3,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Knowledge: Information combined with experience, interpretation, and context; enables understanding of root causes, prediction of outcomes, and strategic decision-making.",1.0
Q11,Q11_C4,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Wisdom: The highest level — applying knowledge with contextual, experiential judgment to navigate complex, novel situations; guides long-term strategic direction.",1.0
Q11,Q11_C5,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.",Critical Evaluation: Each transition up the hierarchy requires progressively greater organisational resources; knowledge is dynamic — patterns become outdated — making continuous investment in knowledge refinement essential for competitive advantage.,1.0
Q12,Q12_C1,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Explicit Knowledge Defined: Formally documented and easily communicable knowledge (e.g., manuals, procedures, reports, databases); readily captured, indexed, and shared by KMS at scale.",1.0
Q12,Q12_C2,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Tacit Knowledge Defined: Personal, experience-based knowledge embedded in individual skills, intuitions, and cognitive models (e.g., expert judgment, craft skills); difficult to articulate or formalise.",1.0
Q12,Q12_C3,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Challenge for KMS: Tacit knowledge is 'sticky' (resistant to transfer), situated (context-embedded), and conditional (applicable only in specific circumstances) — it cannot simply be stored in a database.",1.0
Q12,Q12_C4,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Organisational Risk: When employees with tacit knowledge depart, irreplaceable capability is lost — a persistent strategic vulnerability requiring cultural and structural mitigation.",1.0
Q12,Q12_C5,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Critical Evaluation: Partial capture mechanisms exist (expert systems, CBR, communities of practice) but are imperfect — conversion to explicit rules loses contextual nuance; cultural barriers (fear of losing competitive advantage) often prevent voluntary sharing.",1.0
Q13,Q13_C1,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Acquisition: Capturing explicit and tacit knowledge from internal processes, expert networks, TPS, and external sources; quality of acquisition determines richness of the entire chain — garbage in, garbage out.",1.0
Q13,Q13_C2,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Storage: Structuring and preserving acquired knowledge in databases and document management systems; requires careful taxonomy development, management support, and employee incentive systems.",1.0
Q13,Q13_C3,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Dissemination: Making stored knowledge accessible through portals, wikis, email, and collaboration tools; information overload is a significant risk, requiring training and informal networks to filter relevant content.",1.0
Q13,Q13_C4,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Application: Embedding knowledge into decision-support systems and business processes to generate return on investment; the stage where tangible organisational value is realised — new products, services, and markets.",1.0
Q13,Q13_C5,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Critical Evaluation: Chain is only as strong as its weakest stage; most organisations underinvest in dissemination (knowledge silos) and application; feedback loops — knowledge from application enriching acquisition — are essential for a dynamic, self-improving system.",1.0
Q14,Q14_C1,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","ECM Defined: Systems that capture, store, manage, and deliver the full lifecycle of unstructured and semi-structured organisational content — documents, emails, videos, wikis, blogs, and external feeds.",1.0
Q14,Q14_C2,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Key Functions: Content lifecycle management (create/capture, tag, store/retrieve, manage/review, distribute/publish); digital asset management; collaboration tools integration; unified enterprise-wide repository.",1.0
Q14,Q14_C3,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Knowledge Management Role: Transforms dispersed, heterogeneous content into organised, accessible knowledge repositories supporting operational and strategic decisions; manages 80% of unstructured business content.",1.0
Q14,Q14_C4,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.","Limitation — Taxonomy Complexity: Without a coherent classification framework, documents become unsearchable; organisational knowledge resists rigid categorisation, making taxonomy development both essential and notoriously difficult.",1.0
Q14,Q14_C5,"Evaluate the role of Enterprise Content Management (ECM) systems in managing organisational knowledge, including their key functions and limitations.",Limitation — Content Quality: Repositories can fill with outdated or contextually incomplete documents; documents lacking sufficient contextual framing may be misinterpreted; employee participation without incentive systems leads to knowledge hoarding.,1.0
Q15,Q15_C1,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","LMS Defined: Software platforms that administer, deliver, track, and assess employee training and educational programmes across multiple modes (web-based, live instruction, online forums).",1.0
Q15,Q15_C2,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.",Purpose in KM: Formalises knowledge transfer from experienced employees to the wider workforce; operationalises the dissemination and application stages of the KM value chain.,1.0
Q15,Q15_C3,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","Value to Organisation: Reduces onboarding costs, ensures compliance training delivery, supports continuous professional development, and builds measurable employee competencies at scale.",1.0
Q15,Q15_C4,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","Support for Organisational Learning: Automated course administration, multi-modal delivery for geographically dispersed teams, and tracking/assessment capabilities enable data-driven refinement of training programmes.",1.0
Q15,Q15_C5,"Assess the purpose and value of Learning Management Systems (LMS) within enterprise-wide knowledge management, and evaluate how they support organisational learning.","Critical Evaluation: LMS excels at delivering structured, explicit knowledge but is poorly suited for tacit knowledge transfer; learner engagement is a persistent challenge with high dropout rates in self-directed online formats; content rapidly becomes outdated in fast-moving fields.",1.0
Q16,Q16_C1,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Knowledge Workers Defined: Specialised professionals (researchers, engineers, architects, financial analysts) whose primary output is knowledge creation and application rather than routine information processing.",1.0
Q16,Q16_C2,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,Three Organisational Roles: Keeping the organisation current in their knowledge domain; serving as internal expert consultants; acting as change agents identifying innovation opportunities and leading transformation.,1.0
Q16,Q16_C3,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,KWS Requirements: Substantial computing power for simulation and modelling; advanced graphics for visualisation; communication and document management for collaboration; external database access for current domain knowledge; task-optimised user interfaces.,1.0
Q16,Q16_C4,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Examples: CAD systems (engineering design), 3D printing, VR systems (medical modelling), investment workstations — demonstrating the domain-specificity of effective KWS.",1.0
Q16,Q16_C5,Evaluate the role of knowledge workers in an organisation and critically assess the requirements of knowledge work systems that support their activities.,"Critical Evaluation: KWS enable individual knowledge creation but do not inherently facilitate organisation-wide transfer — without complementary KM systems (ECM, knowledge networks), new knowledge remains siloed; retention risk is significant if key knowledge workers depart.",1.0
Q17,Q17_C1,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,Expert Systems Defined: Capture domain expert knowledge as IF-THEN rules in a knowledge base; an inference engine (forward/backward chaining) applies rules to diagnose problems or recommend solutions.,1.0
Q17,Q17_C2,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"CBR Defined: Solves new problems by retrieving and adapting solutions from a repository of past cases (problem description, solution, outcome); learns incrementally as new cases are added.",1.0
Q17,Q17_C3,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"Comparison — Knowledge Acquisition: Expert systems require intensive upfront knowledge engineering from domain experts; CBR leverages historical case data, reducing initial expert dependency and supporting incremental learning.",1.0
Q17,Q17_C4,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,Comparison — Adaptability: CBR adapts more flexibly to novel situations by modifying past solutions; expert systems struggle when problems fall outside predefined rules — they are brittle in dynamic domains.,1.0
Q17,Q17_C5,Compare and critically evaluate expert systems and case-based reasoning (CBR) as intelligent techniques for capturing and applying organisational knowledge.,"Critical Evaluation: Expert systems can only capture knowledge the expert can articulate, missing deep tacit knowledge; CBR degrades if the case repository is poorly curated or cases are too sparse; both require ongoing maintenance and neither fully captures tacit knowledge.",1.0
Q18,Q18_C1,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","Machine Learning Defined: A subset of AI where systems learn patterns from data without explicit programming; enables predictive analytics, classification, and pattern recognition from large datasets.",1.0
Q18,Q18_C2,"Evaluate the role of machine learning and intelligent agents as intelligent techniques in knowledge management, providing examples and assessing their limitations.","Types of Machine Learning: Supervised learning (labelled training data), unsupervised learning (pattern discovery), and reinforcement learning (reward-based optimisation) — each suited to different organisational applications.",1.0
